date,amount,transaction_type,category,merchant,description,payment_method
2026-07-10,277.51,Expense,Transport,IRCTC TRAIN TICKET,Irctc Train Ticket purchase,UPI
2026-07-11,887.57,Expense,Food,CAFE COFFEE DAY,Cafe Coffee Day purchase,UPI
2026-07-11,1693.91,Expense,Other,GIFT,Gift purchase,UPI
2026-07-11,856.78,Expense,Education,BOOK STORE,Book Store purchase,Card
2026-07-13,1975.81,Expense,Shopping,AJIO,Ajio purchase,Card
2026-07-13,534.33,Expense,Entertainment,SPOTIFY,Spotify purchase,Bank Transfer
2026-07-16,353.47,Expense,Food,LOCAL GROCERY STORE,Local Grocery Store purchase,Bank Transfer
2026-07-18,965.34,Expense,Healthcare,LAB TEST,Lab Test purchase,Card
2026-07-18,453.0,Expense,Transport,PETROL PUMP,Petrol Pump purchase,UPI
2026-07-19,2824.15,Expense,Education,BOOK STORE,Book Store purchase,Bank Transfer
2026-07-22,3223.25,Expense,Bills,BROADBAND BILL,Broadband Bill purchase,Bank Transfer
2026-07-24,158.51,Expense,Entertainment,AMAZON PRIME,Amazon Prime purchase,UPI
2026-07-25,578.2,Expense,Transport,PETROL PUMP,Petrol Pump purchase,Card
2026-07-29,77.56,Expense,Transport,RAPIDO,Rapido purchase,Bank Transfer
2026-07-29,4549.77,Expense,Education,UDEMY COURSE,Udemy Course purchase,Bank Transfer
2026-07-31,146.79,Expense,Transport,OLA CABS,Ola Cabs purchase,Card
2026-08-01,65604.91,Income,Salary,COMPANY PAYROLL,Monthly salary credit,Bank Transfer
2026-08-02,575.98,Expense,Shopping,AJIO,Ajio purchase,Bank Transfer
2026-08-03,490.85,Expense,Entertainment,SPOTIFY,Spotify purchase,Card
2026-08-04,2650.49,Expense,Shopping,MYNTRA,Myntra purchase,Bank Transfer
2026-08-06,12000.0,Expense,Bills,RENT PAYMENT,Rent Payment,Bank Transfer
2026-08-06,1536.25,Expense,Bills,ELECTRICITY BILL,Electricity Bill,UPI
2026-08-07,608.08,Expense,Food,CAFE COFFEE DAY,Cafe Coffee Day purchase,Cash
2026-08-07,595.3,Expense,Bills,MOBILE RECHARGE,Mobile Recharge,UPI
2026-08-07,1770.32,Expense,Education,COURSERA SUBSCRIPTION,Coursera Subscription purchase,UPI
2026-08-08,127.45,Expense,Transport,UBER,Uber purchase,Bank Transfer
2026-08-09,262.02,Expense,Food,ZOMATO,Zomato purchase,Bank Transfer
2026-08-09,693.03,Expense,Healthcare,DOCTOR CONSULTATION,Doctor Consultation purchase,Bank Transfer
2026-08-09,765.36,Expense,Bills,BROADBAND BILL,Broadband Bill,Bank Transfer
2026-08-10,394.66,Expense,Healthcare,MEDICAL STORE,Medical Store purchase,Card
2026-08-11,405.54,Expense,Transport,METRO CARD RECHARGE,Metro Card Recharge purchase,Bank Transfer
2026-08-15,627.83,Expense,Food,BLINKIT,Blinkit purchase,Cash
2026-08-15,154.79,Expense,Transport,IRCTC TRAIN TICKET,Irctc Train Ticket purchase,Cash
2026-08-15,1900.26,Expense,Education,BOOK STORE,Book Store purchase,Bank Transfer
2026-08-16,87.88,Expense,Transport,RAPIDO,Rapido purchase,Card
2026-08-20,730.24,Expense,Entertainment,BOOKMYSHOW,Bookmyshow purchase,Card
2026-08-21,318.63,Expense,Entertainment,AMAZON PRIME,Amazon Prime purchase,Bank Transfer
2026-08-22,1754.77,Expense,Education,COURSERA SUBSCRIPTION,Coursera Subscription purchase,Bank Transfer
2026-08-23,349.15,Expense,Transport,IRCTC TRAIN TICKET,Irctc Train Ticket purchase,Bank Transfer
2026-08-24,571.13,Expense,Transport,PETROL PUMP,Petrol Pump purchase,Cash
2026-08-25,1750.09,Expense,Other,MISCELLANEOUS,Miscellaneous purchase,Bank Transfer
2026-08-26,428.68,Expense,Food,LOCAL GROCERY STORE,Local Grocery Store purchase,UPI
2026-08-26,52.58,Expense,Transport,METRO CARD RECHARGE,Metro Card Recharge purchase,Bank Transfer
2026-08-28,184.42,Expense,Transport,PARKING FEE,Parking Fee purchase,Cash
2026-08-30,377.24,Expense,Shopping,DECATHLON,Decathlon purchase,Card
2026-08-30,5502.93,Expense,Education,COURSERA SUBSCRIPTION,Coursera Subscription purchase,UPI
2026-08-30,1443.69,Expense,Shopping,AMAZON,Amazon purchase,Cash
2026-09-01,2627.55,Expense,Shopping,AJIO,Ajio purchase,UPI
2026-09-01,60216.8,Income,Salary,COMPANY PAYROLL,Monthly salary credit,Bank Transfer
2026-09-02,710.83,Expense,Bills,BROADBAND BILL,Broadband Bill,Bank Transfer
2026-09-02,285.74,Expense,Bills,WATER BILL,Water Bill purchase,Cash
2026-09-02,192.25,Expense,Food,MCDONALDS,Mcdonalds purchase,Card
2026-09-03,3093.15,Expense,Shopping,AJIO,Ajio purchase,UPI
2026-09-03,1217.15,Expense,Education,COURSERA SUBSCRIPTION,Coursera Subscription purchase,Card
2026-09-03,4140.53,Expense,Shopping,AJIO,Ajio purchase,UPI
2026-09-05,497.26,Expense,Shopping,FLIPKART,Flipkart purchase,Card
2026-09-05,2127.28,Expense,Bills,ELECTRICITY BILL,Electricity Bill,Bank Transfer
2026-09-05,12000.0,Expense,Bills,RENT PAYMENT,Rent Payment,UPI
2026-09-06,25000.0,Expense,Other,MISCELLANEOUS,Large unexpected miscellaneous expense (synthetic demo anomaly),Card
2026-09-07,1245.99,Expense,Other,ATM WITHDRAWAL,Atm Withdrawal purchase,Bank Transfer
2026-09-09,510.67,Expense,Bills,MOBILE RECHARGE,Mobile Recharge,Bank Transfer
2026-09-12,1176.17,Expense,Other,ATM WITHDRAWAL,Atm Withdrawal purchase,Bank Transfer
2026-09-13,680.71,Expense,Food,MCDONALDS,Mcdonalds purchase,UPI
2026-09-13,256.25,Expense,Food,SWIGGY,Swiggy purchase,Card
2026-09-16,317.97,Expense,Transport,METRO CARD RECHARGE,Metro Card Recharge purchase,Cash
